filter,Date,project,key,issuetype,status,customfield_58100,customfield_60501
preALP,2021-01-01,XO.Clients,XOC-7576,Customer Defect,Release pending,1.0,XOC-6317
preALP,2021-01-01,XO.Clients,XOC-7446,Customer Defect,Release pending,2.0,"XOC-6317,XOC-7491"
preALP,2021-01-01,XO.Clients,XOC-7394,Defect,Release pending,1.0,XOC-7541
preALP,2021-01-01,XO.Clients,XOC-7291,Defect,Release pending,1.0,XOC-6317
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-19218,Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-19034,Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18833,Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18831,Defect,Release pending,1.0,XINET-18980
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18829,Defect,Release pending,2.0,"XINET-14514,XINET-14515"
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18798,Customer Defect,Release pending,1.0,XINET-18840
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18455,Defect,Release pending,1.0,XINET-14503
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18374,Customer Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18272,Customer Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18254,Customer Defect,Release pending,1.0,XINET-16299
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18187,Customer Defect,Release pending,1.0,XINET-16299
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18169,Customer Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18167,Customer Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-18117,Customer Defect,Release pending,1.0,XINET-14655
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-17966,Customer Defect,Release pending,3.0,"XINET-13008,XINET-13010,XINET-17535"
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-17952,Customer Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-17926,Customer Defect,Release pending,2.0,"XINET-14503,XINET-18156"
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-17862,Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-17489,Customer Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-17354,Customer Defect,Release pending,1.0,XINET-16299
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-17254,Defect,Release pending,1.0,XINET-16299
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-16074,Customer Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-15162,Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-15151,Defect,Release pending,0.0,
preALP,2021-01-01,Northplains-Xinet-Portal,XINET-13902,Customer Defect,Release pending,1.0,XINET-16299
preALP,2021-01-01,T3 StreetSmart,STREETSMART-1373,Customer Defect,Reviewed,2.0,"STREETSMART-2258,STREETSMART-4704"
preALP,2021-01-01,T3 StreetSmart,STREETSMART-1371,Customer Defect,Release pending,2.0,"STREETSMART-2233,STREETSMART-4704"
preALP,2021-01-01,Symphony Commerce,SPC-34107,Customer Defect,Release pending,0.0,
preALP,2021-01-01,Symphony Commerce,SPC-33484,Customer Defect,Release pending,0.0,
preALP,2021-01-01,Aurea Messenger,SONIC-27629,Customer Defect,In Code Review,,
preALP,2021-01-01,Sococo Rocketshorts,SOCOCO-10171,Defect,Release pending,4.0,"SOCOCO-5281,SOCOCO-5359,SOCOCO-5629,SOCOCO-5689"
preALP,2021-01-01,Sococo Rocketshorts,SOCOCO-9365,Customer Defect,Release pending,3.0,"SOCOCO-5281,SOCOCO-5315,SOCOCO-6133"
preALP,2021-01-01,Sococo Rocketshorts,SOCOCO-8713,Customer Defect,In Code Review,,The issue has no Functional Area affected
preALP,2021-01-01,Sococo Rocketshorts,SOCOCO-1392,Defect,Release pending,0.0,
preALP,2021-01-01,Sli-Systems Search and Indexing,SLISEARCH-3104,Customer Defect,Reviewed,2.0,"SLISEARCH-1950,SLISEARCH-5355"
preALP,2021-01-01,Sli-Systems Search and Indexing,SLISEARCH-2986,Customer Defect,Release pending,2.0,"SLISEARCH-1950,SLISEARCH-4620"
preALP,2021-01-01,Sli-Systems Front End,SLIFRONT-4368,Customer Defect,Release pending,5.0,"SLIFRONT-916,SLIFRONT-917,SLIFRONT-940,SLIFRONT-946,SLIFRONT-947"
preALP,2021-01-01,Sli-Systems Front End,SLIFRONT-398,Defect,Reviewed,6.0,"SLIFRONT-4879,SLIFRONT-916,SLIFRONT-917,SLIFRONT-940,SLIFRONT-946,SLIFRONT-947"
preALP,2021-01-01,Sli-Systems Front End,SLIFRONT-376,Defect,Release pending,5.0,"SLIFRONT-916,SLIFRONT-917,SLIFRONT-940,SLIFRONT-946,SLIFRONT-947"
preALP,2021-01-01,Sli-Systems Front End,SLIFRONT-349,Defect,Release pending,5.0,"SLIFRONT-916,SLIFRONT-917,SLIFRONT-940,SLIFRONT-946,SLIFRONT-947"
preALP,2021-01-01,Sli-Systems Front End,SLIFRONT-220,Defect,Reviewed,6.0,"SLIFRONT-4880,SLIFRONT-916,SLIFRONT-917,SLIFRONT-940,SLIFRONT-946,SLIFRONT-947"
